Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.042,-0.000384,0.002265463988186624,0.021114,2.6389201349831272e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3       0.000
4      -0.001
        ...  
3995    0.000
3996   -0.002
3997   -0.003
3998   -0.004
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.041,-0.0003835,0.002245147639239009,0.020746,2.592925884264467e-06,Movement
"0       0.002
1       0.003
2       0.002
3       0.002
4       0.003
        ...  
3995    0.033
3996    0.025
3997    0.016
3998    0.004
3999   -0.010
Name: 2, Length: 4000, dtype: float64",0.09,-0.0001215,0.016896822583058354,1.1417840000000001,0.00014270516185476816,Movement
"0      -0.025
1      -0.039
2      -0.050
3      -0.059
4      -0.066
        ...  
3995    0.003
3996    0.003
3997    0.002
3998    0.002
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.066,-0.000636,0.014668240975772481,0.862032,0.00010774053243344582,Movement
"0       0.001
1       0.001
2       0.000
3       0.001
4       0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.038,-0.00038525,0.004070991977567673,0.066869,8.357580302462192e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4       0.001
        ...  
3995    0.002
3996    0.000
3997   -0.001
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.035,-0.000377,0.0038230910277224062,0.059018,7.376327959005125e-06,Movement
"0      -0.002
1      -0.001
2       0.001
3       0.003
4       0.004
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.037,-0.00038700000000000003,0.003955963019399033,0.063182,7.89676290463692e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.001
4       0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.083,-0.00037925,0.004690780350066835,0.08856699999999999,1.10694913135858e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.003
3996   -0.007
3997   -0.008
3998   -0.006
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.049,-0.0003785,0.004270631958426186,0.07350799999999999,9.187351581052368e-06,Movement
"0       0.001
1       0.004
2       0.006
3       0.007
4       0.006
        ...  
3995    0.000
3996   -0.001
3997   -0.001
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.048,-0.0003465,0.003582826665040877,0.05181399999999999,6.475940507436569e-06,Movement
